Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
BB-168AECDT,Atlas IED,DSP,"BlueBridge 16 Input x 8 Output - Networkable DSP Device with Acoustic Echo Cancellation                                                                                                                               Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",14815.65,"24,340.00"
BB-168DT,Atlas IED,DSP,"BlueBridge 16 Input x 8 Output - Networkable DSP Device with Dante™                                                                                  Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",12257.3,"20,137.00"
BB-816,Atlas IED,DSP,"BlueBridge 8 Input x 16 Output - Networkable DSP Device                                                                                                      Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",9966.78,"16,374.00"
BB-816DT,Atlas IED,DSP,"BlueBridge 8 Input x 16 Output - Networkable DSP Device with Dante™                                                                                   Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",11583.48,"19,030.00"
BB-88,Atlas IED,DSP,"BlueBridge 8 Input x 8 Output - Networkable DSP Device                                                                                                                             Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",7812,"12,834.00"
BB-88DT,Atlas IED,DSP,"BlueBr idge8 Input x 8 Output - Networkable DSP Device with Dante™                                                          Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",9428.7,"15,490.00"
BB-EB1616DT,Atlas IED,DSP,BlueBridge® Expansion I/O Box with Dante™.  16 balanced mic/line inputs and 16 balanced line level outputs. ,8409.74,"13,816.00"
BBWP-K1B,Atlas IED,DSP,"The BBWP-K1B is part of the BlueBridge® DSP product line. The BBWP-K1B is a level controller that can be used to change processing values such as gain, threshold, and frequency adjustment. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1462.7,"2,403.00"
BBWP-K1W,Atlas IED,DSP,"The BBWP-K1W is part of the BlueBridge® DSP product line. The BBWP-K1W is a level controller that can be used to change processing values such as gain, threshold, and frequency adjustment. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1462.7,"2,403.00"
BBWP-K4B,Atlas IED,DSP,"The BBWP-K4B is part of the Bluebridge; DSP product line. The BBWP-K4B is a four-button wall controller that can be used to change any four preset selections with level control. It can also control button, preset, matrix connect, and mute functions. Using Bluebridge; Designer software, you can virtually assign multiple actions to each button or level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1581.39,"2,598.00"
BBWP-K4W,Atlas IED,DSP,"The BBWP-K4W is part of the Bluebridge; DSP product line. The BBWP-K4W is a four-button wall controller that can be used to change any four preset selections with level control. It can also control button, preset, matrix connect, and mute functions. Using Bluebridge; Designer software, you can virtually assign multiple actions to each button or level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1581.39,"2,598.00"
BBWP-S4B,Atlas IED,DSP,"The BBWP-S4B is part of the BlueBridge® DSP product line. The BBWP-S4B is a four-button wall controller that can be used to change any four preset selections. It can also control button, preset, matrix connect, and mute functions. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single button control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1462.7,"2,403.00"
BBWP-S4K1B,Atlas IED,DSP,"The BBWP-S4K1B is part of the Bluebridge; DSP product line. The BBWP-S4K1B is a four-button wall controller that can be used to change any four preset selections and level control. It can also control button, preset, matrix connect, and mute functions. Using Bluebridge; Designer software, you can virtually assign level values and stack multiple actions to the single level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1581.39,"2,598.00"
BBWP-S4K1W,Atlas IED,DSP,"The BBWP-S4K1W is part of the Bluebridge; DSP product line. The BBWP-S4K1W is a four-button wall controller that can be used to change any four preset selections and level control. It can also control button, preset, matrix connect, and mute functions. Using Bluebridge; Designer software, you can virtually assign level values and stack multiple actions to the single level control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1581.39,"2,598.00"
BBWP-S4W,Atlas IED,DSP,"The BBWP-S4W is part of the BlueBridge® DSP product line. The BBWP-S4W is a four-button wall controller that can be used to change any four preset selections. It can also control button, preset, matrix connect, and mute functions. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single button control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1462.7,"2,403.00"
BBWP-S8B,Atlas IED,DSP,"The BBWP-S8B is part of the BlueBridge® DSP product line. The BBWP-S8B is a eight-button wall controller that can be used to change any eight preset selections. It can also control button, preset, matrix connect, and mute functions. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single button control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1587.48,"2,608.00"
BBWP-S8W,Atlas IED,DSP,"The BBWP-S8W is part of the BlueBridge® DSP product line. The BBWP-S8W is a eight-button wall controller that can be used to change any eight preset selections. It can also control button, preset, matrix connect, and mute functions. Using BlueBridge® Designer software, you can virtually assign level values and stack multiple actions to the single button control. 5V DC @ 1A, Power Supply Included or 48VDC-PoE compatible.",1587.48,"2,608.00"
CLA202,Atlas IED,Amplifier - Install,"Atlas IED CLA Power Amplifier PWR SHR 2CH 200W 1RU, Load Configurations - Each Channel Configured Individually 2?, 4?, 8?, 25V, 70.7V, & 100V. Power Share Configurations: 2 x 100W,1 x 175W / 25W, 1 x 150W / 50W, 1 x 125W / 75W",1214.96,"1,996.00"
CLA402,Atlas IED,Amplifier - Install,"Atlas IED CLA Power Amplifier PWR SHR 2CH 400W 1RU,Load Configurations - Each Channel Configured Individually 2?, 4?, 8?, 25V, 70.7V, & 100V.Power Share Configurations:
2 x 200W, 1 x 350W / 50W, 1 x 300W / 100W, 1 x 250W / 150W",1481.57,"2,434.00"
CLA404,Atlas IED,Amplifier - Install,"Atlas IED CLA Power Amplifier PWR SHR 4CH 400W 1RU,Load Configurations - Each Channel Configured Individually 2?, 4?, 8?, 25V, 70.7V, & 100V. Power Share Configurations:
4 x 100W , 2 x 175W / 25W, 2 x 150W / 50W, 2 x 125W / 75W",1974.61,"3,244.00"
CLA802,Atlas IED,Amplifier - Install,"Atlas IED CLA Power Amplifier PWR SHR 2CH 800W 1RU,Load Configurations - Each Channel Configured Individually 2?, 4?, 8?, 25V, 70.7V, & 100V. Power Share Configurations:
2 x 400W, 1 x 700W / 100W, 1 x 600W / 200W, 1 x 500W / 300W",2165.13,"3,557.00"
CLA804,Atlas IED,Amplifier - Install,"Atlas IED CLA Power Amplifier PWR SHR 4CH 800W 1RU,Load Configurations - Each Channel Configured Individually 2?, 4?, 8?, 25V, 70.7V, & 100V. Power Share Configurations:
4 x 200W, 2 x 350W / 50W, 2 x 300W / 100W, 2 x 250W / 150W",2278.96,"3,744.00"
C-T4-B,Atlas IED,DSP,"Atmosphere C-T4 4.3"" Touch control. Features 4.3"" Programmable Touchscreen, Capacitive Touch Volume Slider, Programmable Action Buttons, PIR Motion Sensor, Automatic LCD Brightness, Plug-and-Play Integration with Atmosphere processors, Daisy-Chain connectivity allowing 8 control devices over 1000ft cable length per Atmosphere processor control port. BLACK",1101.74,"1,810.00"
C-T4BT-B,Atlas IED,DSP,"Atmosphere C-T4TB 4.3"" Touch control. Features 4.3"" Programmable Touchscreen, Capacitive Touch Volume Slider, Programmable Action Buttons, PIR Motion Sensor, Automatic LCD Brightness, Plug-and-Play Integration with Atmosphere processors, Daisy-Chain connectivity allowing 8 control devices over 1000ft cable length per Atmosphere processor control port. Includes Bluetooth Receiver with programable Bluetooth broadcast iD. BLACK",1405.48,"2,309.00"
C-T4BT-W,Atlas IED,DSP,"Atmosphere C-T4TB 4.3"" Touch control. Features 4.3"" Programmable Touchscreen, Capacitive Touch Volume Slider, Programmable Action Buttons, PIR Motion Sensor, Automatic LCD Brightness, Plug-and-Play Integration with Atmosphere processors, Daisy-Chain connectivity allowing 8 control devices over 1000ft cable length per Atmosphere processor control port. Includes Bluetooth Receiver with programable Bluetooth broadcast iD. WHITE",1405.48,"2,309.00"
C-T4-W,Atlas IED,DSP,"Atmosphere C-T4 4.3"" Touch control. Features 4.3"" Programmable Touchscreen, Capacitive Touch Volume Slider, Programmable Action Buttons, PIR Motion Sensor, Automatic LCD Brightness, Plug-and-Play Integration with Atmosphere processors, Daisy-Chain connectivity allowing 8 control devices over 1000ft cable length per Atmosphere processor control port. WHITE",1101.74,"1,810.00"
C-V-US,Atlas IED,DSP,"The Atmosphere C-V wall plate enables custom level adjustment, mute, and metering of a single zone.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. WHITE",300.7,494
C-V-US-B,Atlas IED,DSP,"The Atmosphere C-V wall plate enables custom level adjustment, mute, and metering of a single zone.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. BLACK",300.7,494
